time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
114688,56,105,-7.08661789,546.69,1091,4.8828125e-05,550,-4.4776103615760805,-0.0032038142147939653,0.8965261206030846,0.5343590378761292,1.821113983169198,3e-05,0.1,0.0006321218,,
116736,57,104,-6.83508342,548.69,1112,0.0,560,-4.474572712182999,-0.0022106671502115207,0.86464062333107,4.1450514793396,5.17770102918148,3e-05,0.1,0.0002953649,,
118784,58,105,-8.14461072,555.94,1129,0.0154296875,570,-4.478356748819351,-0.005257228118716739,0.674406886100769,0.25560909509658813,0.6923392428085208,3e-05,0.1,0.0014021881,,
120000,,,,,,0.0,580,-4.464602738618851,-0.0009889078908599913,0.013905346393585205,36.16554641723633,37.678950120508674,3e-05,0.1,0.000100050645,-17.259233140945433,627.6
120832,59,104,-8.05153903,556.25,1158,,,,,,,,,,,,
122880,60,104,-8.17048402,565.88,1175,0.006005859375,590,-4.45286922454834,-0.0038585611677262933,0.9257011860609055,0.07380867004394531,0.272903476562351,3e-05,0.1,0.001057399,,
124928,61,105,-8.18139801,562.17,1181,0.00419921875,600,-4.4885960698127745,-0.003557206186815165,0.7137057781219482,0.07222652435302734,0.7287125023081898,3e-05,0.1,0.00080230564,,
126976,62,106,-8.074242369999999,558.7,1186,0.00869140625,610,-4.479483419656754,-0.004108364228159189,0.77260822057724,0.3849909007549286,0.92895547747612,3e-05,0.1,0.0008510392,,
129024,63,108,-7.182710029999999,561.61,1192,0.01083984375,620,-4.472276031970978,-0.004869971633888781,0.9522208273410797,0.0030664168298244476,0.2673296719789505,3e-05,0.1,0.0012067549,,
130000,,,,,,0.0,630,-4.469304478168487,-0.0025198167510097846,0.7981860488653183,0.2875865697860718,0.7057667948305607,3e-05,0.1,0.00044081287,-17.979762172698976,530.0
131072,64,108,-6.68955064,570.69,1202,,,,,,,,,,,,
133120,65,110,-6.603562419999999,578.54,1208,0.03515625,640,-4.490264493227005,-0.005917437537573278,0.9015636667609215,0.03201642632484436,0.18046215400099755,3e-05,0.1,0.0018204037,,
135168,66,111,-7.80882881,589.78,1213,0.008056640625,650,-4.46384442448616,-0.004275648196926341,0.9351433515548706,0.0869855135679245,0.3277263230644166,3e-05,0.1,0.0010620542,,
137216,67,112,-8.50733252,591.37,1218,0.0,660,-4.456811779737473,-0.0006579965542186983,0.3699604868888855,9.695576667785645,37.56899170279503,3e-05,0.1,7.745685e-05,,
139264,68,113,-8.643753840000002,594.37,1223,0.002783203125,670,-4.462295067310333,-0.0033905329008121045,0.8907141461968422,0.2828197181224823,3.0858290769159793,3e-05,0.1,0.00069810124,,
140000,,,,,,0.00029296875,680,-4.460892271995545,-0.0021561245375778526,0.9098963961005211,0.5237450003623962,2.389010928571224,3e-05,0.1,0.00035206683,-8.634502804279327,645.2
141312,69,114,-8.469384090000002,605.04,1235,,,,,,,,,,,,
143360,70,115,-8.45651523,609.43,1240,0.009765625,690,-4.4562768638134,-0.003943996163434349,0.80047807097435,0.06374102830886841,0.5186902012676,3e-05,0.1,0.00094392255,,
145408,71,116,-8.945599629999998,613.1,1246,0.003076171875,700,-4.45087975859642,-0.003310040367068723,0.9466408044099808,0.08172101527452469,0.28050586497411134,3e-05,0.1,0.00083540264,,
147456,72,117,-9.33475924,617.8,1251,0.0,710,-4.452710336446762,-0.000898392905946821,0.16846609115600586,16.504188537597656,34.09193197488785,3e-05,0.1,6.5370405e-05,,
