time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
77,371,4.24004506,96.16,424,157696,3e-05,3.401886324584484,0.6292658448219299,0.7894057631492615,760,0.0005772532,-3.091320940852165,0.0017578125,-0.003060430192272179,0.1,,
78,376,5.110493440000001,95.29,424,159744,3e-05,4.519221776723862,0.8223206996917725,0.7724900245666504,770,0.00044519585,-3.0523975402116776,0.000390625,-0.0026062627177452667,0.1,,
,,,,,160000,3e-05,3.8750049129128454,0.7550177574157715,0.7683956623077393,780,0.0007265952,-3.068972074985504,0.00078125,-0.0031370692333439363,0.1,14.466869831085205,93.6
79,381,5.646121320000001,94.85,424,161792,,,,,,,,,,,,
80,385,6.217661689999999,94.8,424,163840,3e-05,3.998487448692322,0.7754231095314026,0.8119163513183594,790,0.0006702029,-3.072788989543915,0.000927734375,-0.003136934241047129,0.1,,
81,390,6.497634020000001,93.94,424,165888,3e-05,3.9794528871774673,0.9561004042625427,0.7789883613586426,800,0.0007017662,-3.037340533733368,0.0001953125,-0.0036905482382280754,0.1,,
82,395,6.601620390000001,92.61,424,167936,3e-05,5.88821500390768,1.5024030208587646,0.7483724355697632,810,0.00061631086,-3.052163192629814,0.000732421875,-0.003198300994699821,0.1,,
83,400,6.462008369999999,92.84,424,169984,3e-05,4.323542831838131,0.7482361793518066,0.7950791120529175,820,0.00056750455,-3.051777186989784,0.00048828125,-0.0027717388584278524,0.1,,
,,,,,170000,3e-05,3.2972464472055436,0.6690910458564758,0.8531875610351562,830,0.00088190567,-3.078234130144119,0.00224609375,-0.003620389851857908,0.1,-6.235504245758056,91.0
84,405,7.175776469999999,92.91,423,172032,,,,,,,,,,,,
85,410,7.86494514,92.63,424,174080,3e-05,3.7856245011091234,0.6959777474403381,0.7829915881156921,840,0.0007259243,-3.0453374475240707,0.001123046875,-0.0032357665681047366,0.1,,
86,414,9.329309519999999,92.74,424,176128,3e-05,3.699287210404873,0.7902408838272095,0.8118272423744202,850,0.00052409933,-3.0358925849199294,0.0001953125,-0.0026359182927990334,0.1,,
87,419,9.51050871,92.97,424,178176,3e-05,2.7019125990569592,0.46361345052719116,0.7252572774887085,860,0.00079423026,-3.0420841842889788,0.003515625,-0.002990577293530805,0.1,,
,,,,,180000,3e-05,3.549282592535019,0.8588333129882812,0.8023719787597656,870,0.00040010785,-3.004178500175476,0.0,-0.002072602664702572,0.1,2.1708608150482176,96.6
88,425,9.8972167,92.49,423,180224,,,,,,,,,,,,
89,430,8.405675669999999,93.85,423,182272,3e-05,3.061656955629587,0.5028316974639893,0.6871707439422607,880,0.0007160984,-3.046673211455345,0.000390625,-0.002810049062827602,0.1,,
90,435,9.034004920000001,93.17,423,184320,3e-05,3.171298806369305,0.6069185733795166,0.8096388578414917,890,0.0008372064,-3.041242977976799,0.00283203125,-0.003600530300172977,0.1,,
91,439,8.75715807,94.54,423,186368,3e-05,3.3793478906154633,0.6993588209152222,0.8316802382469177,900,0.0005216728,-3.02221921980381,9.765625e-05,-0.002691195913939737,0.1,,
92,445,8.733756419999999,94.95,423,188416,3e-05,3.663064792752266,0.5944194793701172,0.7924147844314575,910,0.0007854785,-3.0204892218112946,0.002880859375,-0.0032967982842819765,0.1,,
,,,,,190000,3e-05,3.3061775505542754,0.8654329180717468,0.8805316090583801,920,0.00071949384,-3.043256086111069,0.002099609375,-0.0029690124589251353,0.1,7.505938625335693,93.0
93,451,9.799989660000001,93.82,422,190464,,,,,,,,,,,,
94,455,10.91127274,92.66,422,192512,3e-05,3.9328942462801932,0.9257416129112244,0.7553155422210693,930,0.0010989929,-3.004281911253929,0.0025390625,-0.0037705679424107075,0.1,,
95,461,8.77965248,93.41,421,194560,3e-05,3.2948154017329214,0.6260483860969543,0.7095984220504761,940,0.00069281016,-3.018842765688896,9.765625e-05,-0.003036536704894388,0.1,,
96,466,8.569818539999998,93.38,421,196608,3e-05,4.60710375905037,1.0368695259094238,0.7981046438217163,950,0.00044376517,-3.0256705820560454,0.0,-0.0021191266336245463,0.1,,
97,470,6.935155169999999,94.62,421,198656,3e-05,4.964153668284416,1.281285047531128,0.845357358455658,960,0.00041627124,-3.0029890805482866,0.0,-0.002296835229208227,0.1,,
,,,,,200000,3e-05,3.5342688143253325,0.702910304069519,0.7517262697219849,970,0.0003290778,-3.0159674257040026,0.0,-0.0018109438882675023,0.1,12.664125657081604,96.4
98,476,6.6845761900000005,94.65,421,200704,,,,,,,,,,,,
