time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
235,-5.872348130000001,73,149504,66.3,635,-0.011417441122466699,0.0003,0.2,-1.1363530717790127,0.5023269653320312,720,0.073974609375,0.791839599609375,0.007192008,2.735441176407039,,
,,,150000,,,-0.0127020368076046,0.0003,0.2,-1.1242367409169673,0.5346123576164246,730,0.11572265625,0.870444118976593,0.009365684,2.4054137291386724,-6.994124853610993,74.4
238,-5.876752010000001,74,151552,66.79,634,,,,,,,,,,,,
241,-4.283628529999999,75,153600,65.98,634,-0.007748700568481581,0.0003,0.2,-1.1230784196406602,0.6096763014793396,740,0.08291015625,0.7271608710289001,0.009272674,2.7646206552162766,,
245,-3.7992163999999997,76,155648,65.59,635,-0.009201384147309,0.0003,0.2,-1.1833074942231179,0.8660976886749268,750,0.08935546875,0.7320079803466797,0.009885186,2.7833815589547157,,
248,-4.384492319999999,77,157696,66.75,635,-0.007157234396436252,0.0003,0.2,-1.1400164023041726,0.5394058227539062,760,0.071728515625,0.7776594161987305,0.007410958,2.4024626657366754,,
251,-5.3498757,78,159744,66.63,635,-0.0063058405728952495,0.0003,0.2,-1.1161920947954058,1.0860778093338013,770,0.10185546875,0.8113560676574707,0.009966498,2.6424269331619143,,
,,,160000,,,-0.008001499230158516,0.0003,0.2,-1.120794483460486,1.1114470958709717,780,0.083984375,0.7855990529060364,0.007717492,3.281600922346115,-0.9714015245437622,67.2
254,-5.23437589,79,161792,67.0,634,,,,,,,,,,,,
258,-4.94840891,80,163840,66.76,634,-0.005937264746899018,0.0003,0.2,-1.1046020528301597,0.5792572498321533,790,0.0677734375,0.7736465334892273,0.0075864326,2.699073622748256,,
261,-5.30404958,81,165888,67.36,635,-0.01253295763162896,0.0003,0.2,-1.1078905964270234,0.8888246417045593,800,0.09619140625,0.7494782209396362,0.009523665,3.1117903046309947,,
264,-5.95697456,82,167936,68.13,635,-0.008239301928551868,0.0003,0.2,-1.1460599223151804,0.537649929523468,810,0.087109375,0.6168871521949768,0.007313484,3.0812787380069495,,
267,-5.96879407,83,169984,68.46,635,-0.0067208127307822,0.0003,0.2,-1.0971548667177558,0.6125373840332031,820,0.090869140625,0.733619749546051,0.008098101,2.5809514936059714,,
,,,170000,,,-0.007666234772477765,0.0003,0.2,-1.081521513685584,1.0848634243011475,830,0.08134765625,0.7651200294494629,0.0082432665,2.7870979154482485,-0.1522667348384857,65.4
271,-6.034005510000001,84,172032,68.83,634,,,,,,,,,,,,
274,-6.61983208,85,174080,68.89,634,-0.010946593960397877,0.0003,0.2,-1.0732339089736342,1.073182463645935,840,0.11611328125,0.7940560579299927,0.009525735,2.2026199512183666,,
277,-6.075221959999999,86,176128,69.1,634,-0.006531955691752955,0.0003,0.2,-1.0530267730355263,0.5614199042320251,850,0.06005859375,0.7787145972251892,0.0062112194,2.178707905486226,,
280,-5.042712239999999,87,178176,68.43,634,-0.006197242042981088,0.0003,0.2,-1.0372308686375618,1.058550238609314,860,0.082861328125,0.7675859928131104,0.010811335,2.6933005841448905,,
,,,180000,,,-0.01140173584135482,0.0003,0.2,-1.0747617917135357,0.38110291957855225,870,0.130908203125,0.8005985617637634,0.0110277645,1.613398203533143,0.954553148150444,63.6
284,-3.6318703599999997,88,180224,67.69,633,,,,,,,,,,,,
533,-3.3446158199999996,89,182272,67.39,341,-0.007074138463940472,0.0003,0.2,-1.0501740276813507,0.8420212864875793,880,0.078955078125,0.7759876251220703,0.0102080405,2.308330685645342,,
536,-4.68812317,90,184320,67.06,343,-0.009569473468582146,0.0003,0.2,-1.0573228128254413,0.7136461734771729,890,0.101806640625,0.7584883570671082,0.008511254,2.234708066098392,,
540,-4.9232928000000005,91,186368,67.81,345,-0.00872996749021695,0.0003,0.2,-1.045425955578685,1.2931721210479736,900,0.075439453125,0.7428430914878845,0.007922069,4.015251037105918,,
1510,-4.64088211,92,188416,68.28,124,-0.007928661019104766,0.0003,0.2,-1.0835046192631126,1.0617159605026245,910,0.1013671875,0.6479001641273499,0.009311769,2.5107521088793874,,
,,,190000,,,-0.003655687247373862,0.0003,0.2,-1.0702105436474085,0.8740763664245605,920,0.058984375,0.6349813938140869,0.006837157,3.3623043444007634,-9.770539927482606,69.0
1514,-4.5541127800000005,93,190464,68.86,125,,,,,,,,,,,,
2452,-4.90503536,94,192512,68.86,78,-0.006658064766088501,0.0003,0.2,-1.0607766520231963,0.7128592133522034,930,0.085498046875,0.7660518884658813,0.009141343,2.4321324594318865,,
2776,-3.9374015200000003,95,194560,68.26,70,-0.009958565622218885,0.0003,0.2,-1.0749236783012748,0.7018274068832397,940,0.0705078125,0.8539612889289856,0.008627032,2.562645764090121,,
2779,-3.4777764800000006,96,196608,67.72,70,-0.004780713137006387,0.0003,0.2,-1.0777253082022071,0.4183095097541809,950,0.087646484375,0.7064677476882935,0.0091538,2.333879089355469,,
2783,-3.4183828300000005,97,198656,67.23,71,-0.0050244986239704305,0.0003,0.2,-1.0614973735064268,0.8050106167793274,960,0.08037109375,0.7594127058982849,0.0093649365,3.030905282497406,,
,,,200000,,,-0.006795533435797552,0.0003,0.2,-1.0786147080361843,0.4696301221847534,970,0.106689453125,0.7868747711181641,0.009454067,2.800116272084415,-5.827726483345032,68.4
