time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
352,-6.6651405,99,202752,68.35,575,-0.0088313610656769,0.0003,0.2,-0.9914830313995481,1.0223480463027954,980,0.143359375,0.6802690625190735,0.015613306,2.362248277850449,,
355,-4.5414181000000005,100,204800,67.0,575,-0.009671383831300773,0.0003,0.2,-1.0385129034519196,0.3665020763874054,990,0.120947265625,0.7577273845672607,0.011916848,2.3967603946104648,,
359,-6.16631766,101,206848,67.59,575,-0.007497175328899175,0.0003,0.2,-1.010899911634624,1.2149500846862793,1000,0.097314453125,0.6239244937896729,0.010221783,3.4267641507089137,,
362,-5.94953479,102,208896,67.05,576,-0.007147395016363589,0.0003,0.2,-1.0327745903283359,1.3757864236831665,1010,0.077197265625,0.73155677318573,0.0076445118,3.38643528111279,,
,,,210000,,,-0.007497547991806641,0.0003,0.2,-1.0179429262876512,0.7736326456069946,1020,0.101318359375,0.787865936756134,0.012590155,2.614088609814644,1.2726491928100585,63.0
366,-7.203754960000001,103,210944,68.86,575,,,,,,,,,,,,
370,-6.96306459,104,212992,67.96,575,-0.008180682647798676,0.0003,0.2,-0.9794022159650921,0.7164297699928284,1030,0.1001953125,0.7953050136566162,0.008947535,2.5843596957623958,,
373,-7.37868821,105,215040,68.5,575,-0.0022880165066453627,0.0003,0.2,-0.9531177239492535,0.41703641414642334,1040,0.08955078125,0.8383937478065491,0.009424637,2.643237559683621,,
377,-7.665939650000001,106,217088,68.1,575,-0.008278798962419388,0.0003,0.2,-0.9223776221275329,1.1180237531661987,1050,0.098095703125,0.8399863243103027,0.009141309,3.2341454964131118,,
380,-7.958366069999999,107,219136,67.65,576,-0.006533154666249175,0.0003,0.2,-0.9216622604057193,0.6483948826789856,1060,0.091015625,0.7135190367698669,0.011890855,2.621477316133678,,
,,,220000,,,-0.009030812911441899,0.0003,0.2,-0.9280811790376902,0.5835692286491394,1070,0.1142578125,0.7525795698165894,0.012186766,2.802753253467381,-9.87712540626526,68.4
384,-7.320330239999999,108,221184,67.81,575,,,,,,,,,,,,
387,-6.794081650000001,109,223232,68.29,575,-0.009178462228737772,0.0003,0.2,-0.9382264060899616,0.6863439679145813,1080,0.117138671875,0.8200917840003967,0.010129564,2.195897891558707,,
391,-6.98437504,110,225280,68.53,575,-0.007677552866516635,0.0003,0.2,-0.903221876733005,0.5835656523704529,1090,0.091015625,0.8588062524795532,0.009996653,1.8643798522651196,,
394,-7.81984402,111,227328,69.0,575,-0.0025223892218491526,0.0003,0.2,-0.9190135767683387,1.2880545854568481,1100,0.0505859375,0.7733008861541748,0.0069216327,3.980367323383689,,
398,-8.35346148,112,229376,68.94,575,-0.0042712408336228695,0.0003,0.2,-0.944038724526763,1.3491719961166382,1110,0.06875,0.8253860473632812,0.0074668755,2.8950475726276634,,
